Parent_PMID,Cited_PMID,Citation_preview,Gold_Standard_Label,Confidence,Annotation_Source
40033805,,"Busfield SJ, Biondo M, Wong M, Ramshaw HS, Lee EM, Martin K, et al. (2012). CSL3",RETRACTED,1.00,user_manual
41399105,,"Bi X, Zhao P, Liu T, et al. Impact of sleeve gastrectomy on the periodontal stat",CLEAN,1.00,user_manual
40932611,39745266,Schuler M. Facts and hopes in neoadjuvant immunotherapy combinations in resectab,RETRACTED,0.88,deepseek
40679761,37985692,"Cao K, Xia Y, Yao J, et al. Large-scale pancreatic cancer detection via non-cont",RETRACTED,0.88,deepseek
POSITIVE_CONTROL,36181614,Proton beam therapy for skull base chordomas: a systematic review of tumor contr,RETRACTED,0.99,rw_db
40999836,,"S. Serra‐Torres, C. Bellot‐Arcís, J. M. Montiel‐Company, J. Marco‐Algarra, and J",RETRACTED,1.00,user_manual
39969311,26712084,"Herbst RS, Baas P, Kim DW, et al. Pembrolizumab versus docetaxel for previously ",CLEAN,0.85,deepseek
POSITIVE_CONTROL,32856392,Negative pressure wound therapy for patients with mediastinitis: A meta-analysis,RETRACTED,0.99,rw_db
40290044,24274259,"Hutchins-Wiese H.L., Picho K., Watkins B.A., Li Y., Tannenbaum S., Claffey K., K",RETRACTED,0.88,deepseek
41146130,2921657,Boyne PJ. Free grafting of traumatically displaced or resected mandibular condyl,CLEAN,0.85,deepseek
40960690,32214265,Savage N. How AI is improving cancer diagnostics. Nature. 2020;579:S14–6. https:,RETRACTED,0.88,deepseek
POSITIVE_CONTROL,38155392,Efficacy and safety of oral probiotic supplementation in mitigating postoperativ,RETRACTED,0.99,rw_db
POSITIVE_CONTROL,27532124,Prognostic Role of Secretory Clusterin in Multiple Human Malignant Neoplasms: A ,RETRACTED,0.99,rw_db
POSITIVE_CONTROL,23780894,Association between XRCC1 Arg399Gln polymorphism and hepatitis virus-related hep,RETRACTED,0.99,rw_db
41286158,27276001,"Tsai S, Evans DB. Therapeutic advances in localized pancreatic cancer. JAMA Surg",CLEAN,0.85,deepseek
41399105,,"Belligoli A, Sanna M, Serra R, et al. Incidence and predictors of hypoglycemia 1",CLEAN,1.00,user_manual
40960690,25883123,"Groheux D, Sanna A, Majdoub M, de Cremoux P, Giacchetti S, Teixeira L, et al. Ba",RETRACTED,0.88,deepseek
40145635,34751943,"Mao J. J., Pillai G. G., Andrade C. J., et al., “Integrative Oncology: Addressin",RETRACTED,0.88,deepseek
40892447,35696286,"Junarta  J, Siddiqui  MU, Riley  JM, Dikdan  SJ, Patel  A, Frisch  DR. Low-volta",RETRACTED,0.88,deepseek
41204891,37128953,"Igwe, E. O. , Nealon J., O'Shaughnessy P., et al. 2023. “Incidence of Post‐Opera",RETRACTED,0.88,deepseek
40940796,,"Zhang Q., Ding K., Lv T., Wang X., Yin Q., Zhang Y., Yu J., Wang Y., Li X., Xian",RETRACTED,1.00,user_manual
POSITIVE_CONTROL,38472107,Impact of prophylactic wound closure in colorectal ESD on postoperative wound co,RETRACTED,0.99,rw_db
40597050,36174452,"Blazek K, Furestad E, Ryan D, Damian D, Fernandez-Penas P, Tong S. The impact of",RETRACTED,0.88,deepseek
41399105,,"Flegal KM, Kruszon-Moran D, Carroll MD, et al. Trends in obesity among adults in",CLEAN,1.00,user_manual
41286158,18173375,"Keir ME, et al. PD-1 and its ligands in tolerance and immunity. Annu Rev Immunol",CLEAN,0.85,deepseek
40145635,34396915,"Belloni S., Arrigoni C., and Caruso R., “Effects From Physical Exercise on Reduc",RETRACTED,0.88,deepseek
41204891,22976420,"Marik, P. E. , and Flemmer M.. 2012. “The Immune Response to Surgery and Trauma:",CLEAN,0.85,deepseek
41085225,,"Shliakhtsitsava K, Romero SAD, Dewald SR, Su HI. Pregnancy and child health outc",CLEAN,1.00,user_manual
41286158,25538019,"Herman JM, et al. Phase 2 multi-institutional trial evaluating gemcitabine and s",RETRACTED,0.88,deepseek
40747640,38915102,"Ashcraft LE, Goodrich DE, Hero J, et al. A systematic review of experimentally t",RETRACTED,0.88,deepseek
40145635,12958120,"Higgins J. P., Thompson S. G., Deeks J. J., and Altman D. G., “Measuring Inconsi",CLEAN,0.85,deepseek
40035891,,"Peteet JR, Balboni MJ (2013) Spirituality and religion in oncology. CA: A Cancer",CLEAN,1.00,user_manual
40815382,38166951,"Liu Y, Li NH (2024) Factors associated with intervertebral cage subsidence in po",RETRACTED,0.88,deepseek
39969311,37703603,"Im K, Choi YJ, Kim DH, et al. AXL receptor tyrosine kinase inhibition improves t",RETRACTED,0.88,deepseek
40145635,,"National Cancer Institute
, accessed March 3, 2024, https://www.cancer.gov/about",RETRACTED,1.00,user_manual
40940796,34103684,"Walter W., Haferlach C., Nadarajah N., Schmidts I., Kühn C., Kern W., Haferlach ",RETRACTED,0.88,deepseek
40033805,12152987,"Skinnider BF, Kapp U, Mak TW (2002). The role of interleukin 13 in classical Hod",CLEAN,0.85,deepseek
40940796,,"Dudoit S., Fridlyand J., Speed T.P. Comparison of discrimination methods for the",RETRACTED,1.00,user_manual
41089680,31648294,"Hirayama AV, Gauthier J, Hay KA, Voutsinas JM, Wu Q, Pender BS, et al. High rate",RETRACTED,0.88,deepseek
41201392,,"Han, XD, Lu, RQ, Hu, HY, Guo, L. Application of serum markers in medullary thyro",CLEAN,1.00,user_manual
POSITIVE_CONTROL,38577937,Effect of probiotics and synbiotics on complications of wound infection after co,RETRACTED,0.99,rw_db
40033805,23625073,"Tal N, Shochat C, Geron I, Bercovich D, Izraeli S (2014). Interleukin 7 and thym",CLEAN,0.85,deepseek
40940796,35057748,"Han H., Liu X. The challenges of explainable AI in biomedical data science. BMC ",RETRACTED,0.88,deepseek
40145635,38281450,"Wang Y., Yang L., Lin G., et al., “The Efficacy of Progressive Muscle Relaxation",RETRACTED,0.88,deepseek
41188771,,"Cho SB, Kim IK, Kang HS, Lee SH, Yeo CD. S100A8/A9-RAGE pathway and chronic airw",RETRACTED,1.00,user_manual
40925717,,"Skye J, Bruss J, Toescu S, Aquilina K, Grafft A, Bardi Lola G, et al. Neuroanato",CLEAN,1.00,user_manual
41174505,,"Miao R, Li ZY, Ji JF. Analysis of the current status and development trend of di",RETRACTED,1.00,user_manual
40597050,29909871,"Wilson ECF, Usher-Smith JA, Emery J, Corrie PG, Walter FM. Expert elicitation of",RETRACTED,0.88,deepseek
41204891,12034649,"Shamsuzzaman, A. S. , Winnicki M., Lanfranchi P., et al. 2002. “Elevated C‐React",RETRACTED,0.88,deepseek
40923939,,"Higgins JPT, Thomas J, Chandler J, et al. Cochrane Handbook for Systematic Revie",RETRACTED,1.00,user_manual
40035891,,"Hsieh Y-P, Roh S, Lee Y-S (2020) Spiritual well-being, social support, and depre",RETRACTED,1.00,user_manual
40679761,32279101,"Ren S, Zhao R, Zhang J, et al: Diagnostic accuracy of unenhanced CT texture anal",RETRACTED,0.88,deepseek
41085225,,"Lie Fong S, van den Heuvel‐Eibrink MM, Eijkemans MJC, Schipper I, Hukkelhoven CW",CLEAN,1.00,user_manual
41174505,36059703,"Li Y, Xie F, Xiong Q, Lei H, Feng P. Machine learning for lymph node metastasis ",RETRACTED,0.88,deepseek
41317088,29562589,"Pawlowska E, Szczepanska J, Szatkowska M, et al. An interplay between senescence",RETRACTED,0.88,deepseek
40597050,27757333,"Chen JT, Kempton SJ, Rao VK. The economics of skin cancer: an analysis of medica",RETRACTED,0.88,deepseek
40356837,32810773,"Lopes DG, Tamayo A, Schipp B, Siepmann T. Cost-effectiveness of edoxaban vs low-",RETRACTED,0.88,deepseek
40035891,,"Whitford HS, Olver IN, Peterson MJ (2008) Spirituality as a core domain in the a",CLEAN,1.00,user_manual
41286158,26909576,"Bailey P, et al. Genomic analyses identify molecular subtypes of pancreatic canc",RETRACTED,0.88,deepseek
40033805,,"Tobler A, Moser B, Dewald B, Geiser T, Studer H, Baggiolini M, Fey MF (1993). Co",CLEAN,1.00,user_manual
POSITIVE_CONTROL,38152991,Effect of comprehensive nursing intervention on wound pain and wound complicatio,RETRACTED,0.99,rw_db
41085225,,"Kenney LB, Nicholson HS, Brasseux C, et al. Birth defects in offspring of adult ",CLEAN,1.00,user_manual
POSITIVE_CONTROL,25141776,Systematic evaluation of percutaneous radiofrequency ablation versus percutaneou,RETRACTED,0.99,rw_db
40597050,32007142,"Canfell K, Kim JJ, Brisson M, Keane A, Simms KT, Caruana M, et al. Mortality imp",RETRACTED,0.88,deepseek
40033805,26058076,"Passaro D, Irigoyen M, Catherinet C, Gachet S, Da Costa De Jesus C, Lasgi C, et ",RETRACTED,0.88,deepseek
39969311,35070755,"Shi Y, Liu J, Zhang D, Liu X, Yue Y, et al. Correlations between peripheral bloo",RETRACTED,0.88,deepseek
40287616,32549990,"Tefera GM, Feyisa BB, Umeta GT, Kebede TM. Predictors of prolonged length of hos",RETRACTED,0.88,deepseek
POSITIVE_CONTROL,23271362,Polymorphisms of excision repair gene XPD Lys751Gln and hOGG1 Ser326Cys might no,RETRACTED,0.99,rw_db
39969311,7350839,"Buzby GP, Mullen JL, Matthews DC, Hobbs CL, Rosato EF. Prognostic nutritional in",RETRACTED,0.88,deepseek
40035891,28175997,Brown AJ et al (2017) Nothing left to chance? The impact of locus of control on ,RETRACTED,0.88,deepseek
40679761,35727458,"Anai K, Hayashida Y, Ueda I, et al. The effect of CT texture-based analysis usin",RETRACTED,0.88,deepseek
40136388,32386568,"Shu C.A., Gainor J.F., Awad M.M., Chiuzan C., Grigg C.M., Pabani A., Garofano R.",RETRACTED,0.88,deepseek
POSITIVE_CONTROL,31692232,A meta-analysis of treatment effects of imiquimod for basal cell carcinoma.. J C,RETRACTED,0.99,rw_db
40815382,40055220,"Egu C, Najjar E, Komaitis S et al (2025) Evaluating the prognostic role of compu",RETRACTED,0.88,deepseek
40679761,31841792,"Latenstein AEJ, van der Geest LGM, Bonsing BA, et al: Nationwide trends in incid",RETRACTED,0.88,deepseek
41399105,,"Adamina M, Steffen T, Tarantino I, et al. Meta-analysis of the predictive value ",CLEAN,1.00,user_manual
POSITIVE_CONTROL,38973678,Pregnancy outcomes of foetal reduction from twin to singleton gestation compared,RETRACTED,0.99,rw_db
40892447,32898129,"Wang  Z, Cheng  L, Zhang  J, Liang  Z, Dong  R, Hang  F  et al.  Serum-soluble S",RETRACTED,0.88,deepseek
40960690,25868410,"Killelea BK, Yang VQ, Mougalian S, Horowitz NR, Pusztai L, Chagpar AB, et al. Ne",RETRACTED,0.88,deepseek
40038641,32056863,"Sanada K, Nakajima S, Kurokawa S, Barceló-Soler A, Ikuse D, Hirata A, et al. Gut",RETRACTED,0.88,deepseek
40033805,19349467,"González-García S, García-Peydró M, Martín-Gayo E, Ballestar E, Esteller M, Born",RETRACTED,0.88,deepseek
41201392,,"Giovanella, L, Fontana, M, Keller, F, Campenni, A, Ceriani, L, Paone, G. Circula",CLEAN,1.00,user_manual
POSITIVE_CONTROL,38351465,Analgesic efficacy of local infiltration anaesthesia versus femoral nerve block ,RETRACTED,0.99,rw_db
40287616,8881629,"Wolters U, Wolf T, Stützer H, Schröder T. ASA classification and perioperative v",RETRACTED,0.88,deepseek
41188771,29642903,"Leu JS, Chang SY, Mu CY, Chen ML, Yan BS. Functional domains of SP110 that modul",RETRACTED,0.88,deepseek
